actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid,triplet_region_1_share_mean,triplet_region_2_share_mean,triplet_region_3_share_mean
Finland,Italy,Netherlands,13,17,20,2-2-2,13,13,15,27,41,0.6585365853658537,17,0.2835748792270531,0.6648871815648899,0.2546020803656044,-0.0063505961990362,0.0289727988614487,0.2095972642451012,0.6107243085532641,0.17967842720163454
Finland,Italy,Belarus,13,17,21,2-2-2,12,13,15,25,40,0.625,11,0.2534845017682546,0.6638481687332778,0.2552220095264794,-0.0388481687332777,-0.0017375077582247,0.20398779646927276,0.6601979712711863,0.1358142322595409
Finland,Italy,Canada,13,17,22,1-2-2,6,13,15,23,34,0.6764705882352942,14,0.2470669427191166,0.7064832845259316,0.2064285733859857,-0.0300126962906374,0.0406383693331308,0.4112938916771036,0.4767029619025318,0.1120031464203644
Finland,Italy,Australia,13,17,23,2-2-3,13,15,20,34,48,0.7083333333333334,21,0.1891304347826087,0.6779363398717488,0.2342801091744959,0.0303969934615845,-0.0451496743918872,0.2386674421786834,0.46484256340745617,0.29648999441386037
Finland,Italy,Argentina,13,17,24,2-2-2,13,15,16,31,44,0.7045454545454546,19,0.1909253065774805,0.6559031986775162,0.2653488309639339,0.0486422558679383,-0.0744235243864534,0.26780978180796716,0.5191809967225761,0.21300922146945664
Finland,Italy,Peru,13,17,25,1-2-2,13,13,15,26,41,0.6341463414634146,16,0.328604118993135,0.6648871815648899,0.2546020803656044,-0.0307408401014752,0.0740020386275306,0.39378333673000304,0.49421351684963244,0.1120031464203644
Finland,Italy,Poland,13,17,26,2-2-2,11,13,15,28,39,0.717948717948718,19,0.2027667984189723,0.681994282750637,0.2300914246155938,0.0359544351980809,-0.0273246261966215,0.22161357717442773,0.642882168120313,0.13550425470525915
Finland,Italy,Chile,13,17,27,2-2-2,13,13,15,30,41,0.7317073170731707,21,0.1884057971014492,0.6648871815648899,0.2546020803656044,0.0668201355082808,-0.0661962832641551,0.2523967173304616,0.6098675755298327,0.13773570713970545
Finland,Italy,Brazil,13,17,28,2-2-2,13,15,16,27,44,0.6136363636363636,13,0.2966701173222912,0.6559031986775162,0.2653488309639339,-0.0422668350411525,0.0313212863583572,0.25687082245465614,0.6291338843638574,0.11399529318148628
Finland,Italy,Romania,13,17,29,2-2-2,9,13,15,24,37,0.6486486486486487,13,0.2641304347826087,0.6709094680568364,0.2459601599652364,-0.0222608194081876,0.0181702748173722,0.28852769709463444,0.5994691564850011,0.1120031464203644
Finland,Italy,Ecuador,13,17,30,2-2-2,13,13,15,27,41,0.6585365853658537,15,0.2427379383901123,0.6648871815648899,0.2546020803656044,-0.0063505961990362,-0.011864141975492,0.28610818950730904,0.5777467541645857,0.13614505632810517
Finland,Italy,Portugal,13,17,31,1-2-2,7,13,15,25,35,0.7142857142857143,16,0.1891304347826087,0.7072089401854107,0.2043716345847525,0.0070767741003036,-0.0152411998021438,0.4253891344162266,0.40224867618207255,0.17236218940170075
Finland,Italy,Colombia,13,17,32,1-2-2,6,13,15,23,34,0.6764705882352942,14,0.2397840295538505,0.7064832845259316,0.2064285733859857,-0.0300126962906374,0.0333554561678647,0.3863044085216149,0.5016924450580206,0.1120031464203644
Finland,Italy,Bulgaria,13,17,33,1-2-2,9,13,15,24,37,0.6486486486486487,14,0.285183066361556,0.6709094680568364,0.2459601599652364,-0.0222608194081876,0.0392229063963195,0.43886910017343866,0.4491277534061968,0.1120031464203644
Finland,Italy,Venezuela,13,17,34,1-2-2,5,13,15,24,33,0.7272727272727273,18,0.2265253927658019,0.7053634728280364,0.2108578874241094,0.0219092544446909,0.0156675053416925,0.4178103111815045,0.47018654239813107,0.1120031464203644
Finland,Italy,Türkiye,13,17,35,1-2-2,6,13,15,23,34,0.6764705882352942,13,0.2169082125603864,0.7064832845259316,0.2064285733859857,-0.0300126962906374,0.0104796391744007,0.42006185380297456,0.46793499977666086,0.1120031464203644
Finland,Czechia,Belgium,13,18,19,2-2-2,10,13,14,24,37,0.6486486486486487,15,0.2969785575048733,0.6817534115955168,0.2336732166190101,-0.0331047629468681,0.0633053408858631,0.22269270400765664,0.6542941769866002,0.12301311900574313
Finland,Czechia,Netherlands,13,18,20,2-2-2,10,13,13,23,36,0.6388888888888888,12,0.2627680311890838,0.6903133457548317,0.2251539703841225,-0.0514244568659428,0.0376140608049613,0.15501846525711702,0.6957519227691971,0.1492296119736858
Finland,Czechia,Belarus,13,18,21,2-2-2,10,12,13,22,35,0.6285714285714286,11,0.2719298245614035,0.6940985781225719,0.2216526348227384,-0.0655271495511433,0.050277189738665,0.14940899748128855,0.7452255854871193,0.10536541703159213
Finland,Czechia,Canada,13,18,22,1-2-2,6,10,13,19,29,0.6551724137931034,11,0.2592592592592592,0.7165842549244107,0.2020869562358591,-0.0614118411313072,0.0571723030234,0.3567150926891194,0.5617305761184649,0.08155433119241563
Finland,Czechia,Australia,13,18,23,2-2-3,10,13,20,31,43,0.7209302325581395,20,0.1925925925925925,0.7186880066043054,0.1933216779242984,0.002242225953834,-0.0007290853317059,0.18408864319069917,0.5498701776233892,0.26604117918591164
Finland,Czechia,Argentina,13,18,24,2-2-2,10,13,16,30,39,0.7692307692307693,22,0.1588319088319088,0.6690626474405679,0.2486414268016457,0.1001681217902014,-0.0898095179697369,0.2132309828199829,0.6042086109385091,0.1825604062415079
Finland,Czechia,Peru,13,18,25,1-2-2,10,13,13,22,36,0.6111111111111112,12,0.3330466689599816,0.6903133457548317,0.2251539703841225,-0.0792022346437205,0.1078926985758591,0.3392045377420188,0.5792411310655655,0.08155433119241563
Finland,Czechia,Poland,13,18,26,2-2-2,10,11,13,25,34,0.7352941176470589,17,0.1784511784511784,0.6925721150091169,0.226724258746792,0.042722002637942,-0.0482730802956136,0.16703477818644352,0.7279097823362459,0.1050554394773104
Finland,Czechia,Chile,13,18,27,2-2-2,10,13,13,25,36,0.6944444444444444,15,0.206246292058649,0.6903133457548317,0.2251539703841225,0.0041310986896127,-0.0189076783254734,0.1978179183424774,0.6948951897457659,0.10728689191175671
Finland,Czechia,Brazil,13,18,28,2-2-2,10,13,16,25,39,0.6410256410256411,15,0.2989417989417989,0.6690626474405679,0.2486414268016457,-0.0280370064149267,0.0503003721401531,0.20229202346667194,0.7141614985797905,0.08354647795353753
Finland,Czechia,Romania,13,18,29,2-2-2,9,10,13,20,32,0.625,12,0.3366402116402116,0.7044106797048546,0.2153768207239334,-0.0794106797048546,0.1212633909162782,0.2339488981066502,0.6844967707009341,0.08155433119241563
Finland,Czechia,Ecuador,13,18,30,2-2-2,10,13,13,25,36,0.6944444444444444,16,0.2219576719576719,0.6903133457548317,0.2251539703841225,0.0041310986896127,-0.0031962984264505,0.23152939051932486,0.6627743683805187,0.10569624110015641
Finland,Czechia,Portugal,13,18,31,1-2-2,7,10,13,21,30,0.7,15,0.2473544973544973,0.711977844804847,0.2074296499943424,-0.011977844804847,0.0399248473601549,0.3708103354282424,0.48727629039800563,0.14191337417375202
Finland,Czechia,Colombia,13,18,32,1-2-2,6,10,13,19,29,0.6551724137931034,11,0.2584045584045584,0.7165842549244107,0.2020869562358591,-0.0614118411313072,0.0563176021686992,0.33172560953363067,0.5867200592739537,0.08155433119241563
Finland,Czechia,Bulgaria,13,18,33,1-2-2,9,10,13,21,32,0.65625,14,0.3064814814814815,0.7044106797048546,0.2153768207239334,-0.0481606797048546,0.0911046607575481,0.38429030118545454,0.5341553676221298,0.08155433119241563
Finland,Czechia,Venezuela,13,18,34,1-2-2,5,10,13,19,28,0.6785714285714286,12,0.2391127391127391,0.7163388817584592,0.2023943864750635,-0.0377674531870305,0.0367183526376755,0.3632315121935203,0.5552141566140641,0.08155433119241563
Finland,Czechia,Türkiye,13,18,35,1-2-2,6,10,13,19,29,0.6551724137931034,11,0.2584045584045584,0.7165842549244107,0.2020869562358591,-0.0614118411313072,0.0563176021686992,0.3654830548149904,0.5529626139925939,0.08155433119241563
