k,topic_order,topic,x_plot,region,region_anchor,region_anchor_x
6,26,Emergency report and contingency planning,0.4714397070089904,4,Human Footprint and wilderness values,0.5570278693771726
6,27,Repair and remediation of environmental damage,0.4785603220035303,4,Human Footprint and wilderness values,0.5570278693771726
6,28,Historic Sites and Monuments,0.4823429046539811,4,Human Footprint and wilderness values,0.5570278693771726
6,29,Area Protection and Management Plans General,0.5004157993437484,4,Human Footprint and wilderness values,0.5570278693771726
6,30,Mineral resources,0.5486928120359824,4,Human Footprint and wilderness values,0.5570278693771726
6,31,Human Footprint and wilderness values,0.5570278693771726,4,Human Footprint and wilderness values,0.5570278693771726
6,32,CEP Strategy Discussions,0.5652259283677754,4,Human Footprint and wilderness values,0.5570278693771726
6,33,Search and Rescue,0.5782303524397047,4,Human Footprint and wilderness values,0.5570278693771726
6,34,Site Guidelines for Visitors,0.5815045003879167,4,Human Footprint and wilderness values,0.5570278693771726
6,35,Marine living resources,0.6072600948648526,4,Human Footprint and wilderness values,0.5570278693771726
6,36,Specially Protected Species,0.6187624363507289,4,Human Footprint and wilderness values,0.5570278693771726
6,37,Tourism and NG_Activities,0.6351007320692914,4,Human Footprint and wilderness values,0.5570278693771726
6,38,Drilling,0.706743800577266,5,Multiyear strategic workplan,0.7604580634912677
6,39,Operation of the CEP,0.7077185661800908,5,Multiyear strategic workplan,0.7604580634912677
6,40,Multiyear strategic workplan,0.7604580634912677,5,Multiyear strategic workplan,0.7604580634912677
6,41,Marine Acoustics,0.7856949393318449,5,Multiyear strategic workplan,0.7604580634912677
6,42,Sub glacial Lakes,0.8368881874706654,5,Multiyear strategic workplan,0.7604580634912677
6,43,State of the Antarctic Environment Report SAER,0.913455015343537,6,State of the Antarctic Environment Report SAER,0.913455015343537
6,44,Environmental Domains Analysis,1.0,6,State of the Antarctic Environment Report SAER,0.913455015343537
