country,pioneer_score,topics_adopted,first_activity,abs_pioneer_score,intensity,pioneer_index,abs_pioneer_index,gdp_per_capita,residual,strategic_group,color
South Africa,6.346153846153846,26,1961,6.346153846153846,8.645678226718273,-6.346153846153846,-6.346153846153846,,,On-trend,gray7
Spain,5.818181818181818,22,1987,8.681818181818182,2.913896200814589,-5.818181818181818,-8.681818181818182,,,On-trend,gray7
Sweden,6.944444444444445,18,1987,11.5,6.028719976074643,-6.944444444444445,-11.5,,,On-trend,gray7
Switzerland,16.333333333333332,3,1991,23.333333333333332,5.937328881050807,-16.333333333333332,-23.333333333333332,,,On-trend,gray7
Türkiye,1.375,8,2017,31.5,5.661454650043646,-1.375,-31.5,,,On-trend,gray7
UNEP,0.6666666666666666,9,1994,9.666666666666666,9.600655417672918,-0.6666666666666666,-9.666666666666666,,,On-trend,gray7
Ukraine,11.133333333333333,15,1998,20.733333333333334,8.535844815684815,-11.133333333333333,-20.733333333333334,,,On-trend,gray7
United Kingdom,-5.638888888888889,36,1961,-5.638888888888889,2.5683926423625874,5.638888888888889,5.638888888888889,,,On-trend,gray7
United States,-6.516129032258065,31,1961,-6.516129032258065,2.5550039469795123,6.516129032258065,6.516129032258065,,,On-trend,gray7
Uruguay,8.73076923076923,26,1981,11.5,4.4515430683308335,-8.73076923076923,-11.5,,,On-trend,gray7
Venezuela,5.6,5,2007,27.0,78.31289160220771,-5.6,-27.0,,,On-trend,gray7
WMO,9.75,12,1968,9.916666666666666,6.911326982685227,-9.75,-9.916666666666666,,,On-trend,gray7
