actor_i,actor_j,overlap_jaccard_rpa,exclusive_phi_proximity,complementarity_score,k_i,k_j,same_regime,regime_pair,pair_type,pair_label
Bulgaria,Norway,0.125,0.3732049178891284,0.2482049178891284,9,18,0,1-3,Separate / weak,Bulgaria - Norway
Bulgaria,Peru,0.29411764705882354,0.3357949403537639,0.041677293294940354,9,13,1,1-1,Separate / weak,Bulgaria - Peru
Bulgaria,Poland,0.25,0.3806831823638547,0.13068318236385468,9,11,0,1-2,Separate / weak,Bulgaria - Poland
Bulgaria,Portugal,0.3333333333333333,0.32469729813796755,-0.008636035195365765,9,7,1,1-1,Separate / weak,Bulgaria - Portugal
Bulgaria,Romania,0.2857142857142857,0.4270368751031183,0.14132258938883258,9,9,0,1-2,Aligned,Bulgaria - Romania
Bulgaria,Russian Federation,0.12,0.3621426388691288,0.2421426388691288,9,19,0,1-3,Separate / weak,Bulgaria - Russian Federation
Bulgaria,South Africa,0.125,0.3913992914979757,0.2663992914979757,9,18,0,1-2,Complementary,Bulgaria - South Africa
Bulgaria,Spain,0.2631578947368421,0.40309783579423675,0.13993994105739466,9,15,0,1-2,Aligned,Bulgaria - Spain
Bulgaria,Sweden,0.2777777777777778,0.3650213154005724,0.08724353762279463,9,14,0,1-2,Separate / weak,Bulgaria - Sweden
Bulgaria,Türkiye,0.25,0.3601971304557512,0.11019713045575119,9,6,1,1-1,Separate / weak,Bulgaria - Türkiye
Bulgaria,Ukraine,0.1875,0.3785946893828667,0.19109468938286672,9,10,0,1-3,Separate / weak,Bulgaria - Ukraine
Bulgaria,United Kingdom,0.06896551724137931,0.3691022578649954,0.30013674062361606,9,22,0,1-3,Separate / weak,Bulgaria - United Kingdom
Bulgaria,United States,0.07692307692307693,0.3917737723564185,0.3148506954333416,9,19,0,1-3,Complementary,Bulgaria - United States
Bulgaria,Uruguay,0.3,0.33937946470454206,0.039379464704542066,9,17,0,1-2,Separate / weak,Bulgaria - Uruguay
Bulgaria,Venezuela,0.2727272727272727,0.33974358974358976,0.06701631701631705,9,5,1,1-1,Separate / weak,Bulgaria - Venezuela
Canada,Chile,0.05555555555555555,0.4150766099322134,0.3595210543766578,6,13,0,1-2,Complementary,Canada - Chile
Canada,China,0.15,0.3721230158730159,0.2221230158730159,6,17,0,1-2,Separate / weak,Canada - China
Canada,Colombia,0.2,0.41902037617554866,0.21902037617554865,6,6,1,1-1,Complementary,Canada - Colombia
Canada,Czechia,0.14285714285714285,0.40892964793826864,0.2660725050811258,6,10,0,1-2,Complementary,Canada - Czechia
Canada,Ecuador,0.11764705882352941,0.38703796203796204,0.2693909032144326,6,13,0,1-2,Complementary,Canada - Ecuador
Canada,Finland,0.35714285714285715,0.3421984265734266,-0.014944430569430567,6,13,0,1-2,Separate / weak,Canada - Finland
Canada,France,0.2,0.32253019628904195,0.12253019628904194,6,18,0,1-3,Separate / weak,Canada - France
Canada,Germany,0.13636363636363635,0.3652010211412151,0.22883738477757876,6,19,0,1-2,Separate / weak,Canada - Germany
Canada,India,0.26666666666666666,0.41175213675213673,0.14508547008547007,6,13,0,1-2,Aligned,Canada - India
Canada,Italy,0.16666666666666666,0.47087873931623936,0.30421207264957273,6,15,0,1-2,Complementary,Canada - Italy
Canada,Japan,0.26666666666666666,0.41171717171717176,0.1450505050505051,6,13,0,1-2,Aligned,Canada - Japan
Canada,Korea (ROK),0.29411764705882354,0.43202797202797205,0.1379103249691485,6,16,0,1-3,Aligned,Canada - Korea (ROK)
Canada,Netherlands,0.1875,0.32506616921090603,0.13756616921090603,6,13,0,1-2,Separate / weak,Canada - Netherlands
Canada,New Zealand,0.038461538461538464,0.3367263466645273,0.29826480820298884,6,21,0,1-3,Separate / weak,Canada - New Zealand
Canada,Norway,0.09090909090909091,0.3576644777919449,0.26675538688285394,6,18,0,1-3,Separate / weak,Canada - Norway
Canada,Peru,0.35714285714285715,0.26907338984544865,-0.0880694672974085,6,13,1,1-1,Separate / weak,Canada - Peru
Canada,Poland,0.13333333333333333,0.4226068376068376,0.2892735042735043,6,11,0,1-2,Complementary,Canada - Poland
Canada,Portugal,0.18181818181818182,0.36789472811671087,0.18607654629852904,6,7,1,1-1,Separate / weak,Canada - Portugal
Canada,Romania,0.25,0.43237279961417896,0.18237279961417896,6,9,0,1-2,Aligned,Canada - Romania
