period_idx,period_start,period_end,period_label,period_mid,actor_a,actor_b,collaboration_count,presence_jaccard,specialized_jaccard,presence_active_a,presence_active_b,specialized_active_a,specialized_active_b
0,1961,1970,1961-1970,1965.5,Argentina,Colombia,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Czechia,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Denmark,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Ecuador,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Estonia,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Finland,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,France,0,0.625,0.125,7,6,4,5
0,1961,1970,1961-1970,1965.5,Argentina,Germany,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Greece,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IAATO,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,ICAO,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IGP&I Clubs,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IHO,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IMO,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IOC,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IOPC Funds,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IPCC,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IPY-IPO,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,IUCN,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Iceland,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,India,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Italy,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Japan,0,0.4444444444444444,0.125,7,6,4,5
0,1961,1970,1961-1970,1965.5,Argentina,Kazakhstan,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Korea (DPRK),0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Korea (ROK),0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Malaysia,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Monaco,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Netherlands,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,New Zealand,2,0.5833333333333334,0.2222222222222222,7,12,4,7
0,1961,1970,1961-1970,1965.5,Argentina,Norway,0,0.2857142857142857,0.2,7,2,4,2
0,1961,1970,1961-1970,1965.5,Argentina,Peru,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Poland,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Portugal,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Romania,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Russian Federation,2,0.75,0.3333333333333333,7,7,4,4
0,1961,1970,1961-1970,1965.5,Argentina,SCAR,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Slovakia,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,South Africa,0,0.7142857142857143,0.4,7,5,4,3
0,1961,1970,1961-1970,1965.5,Argentina,Spain,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Sweden,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Switzerland,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Türkiye,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,UNEP,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Ukraine,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,United Kingdom,2,0.35294117647058826,0.07142857142857142,7,16,4,11
0,1961,1970,1961-1970,1965.5,Argentina,United States,5,0.4,0.14285714285714285,7,14,4,12
0,1961,1970,1961-1970,1965.5,Argentina,Uruguay,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,Venezuela,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Argentina,WMO,0,0.14285714285714285,0.0,7,1,4,1
0,1961,1970,1961-1970,1965.5,Argentina,WTO,0,0.0,0.0,7,0,4,0
0,1961,1970,1961-1970,1965.5,Australia,Austria,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Belarus,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Belgium,0,0.42857142857142855,0.18181818181818182,14,6,9,4
0,1961,1970,1961-1970,1965.5,Australia,Brazil,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Bulgaria,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,CCAMLR,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,COMNAP,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Canada,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Chile,5,0.4375,0.15384615384615385,14,9,9,6
0,1961,1970,1961-1970,1965.5,Australia,China,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Colombia,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Czechia,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Denmark,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Ecuador,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Estonia,0,0.0,0.0,14,0,9,0
