member,period_end,prior_breadth,breadth,n_added,retained_fraction,displacement_portfolio,displacement,null_displacement_mean,null_displacement_p05,delta_vs_null
Norway,2010,13,10,1,0.9,0.06842105263157895,0.6842105263157895,0.5892008727903651,0.44773706896551724,0.09500965352542434
Peru,2010,8,6,0,1.0,0.0,,,,
Poland,2010,2,1,0,1.0,0.0,,,,
Romania,2010,8,8,2,0.75,0.15364583333333334,0.6145833333333334,0.6144832867147977,0.4922661713286713,0.00010004661853568741
Russian Federation,2010,14,15,2,0.8666666666666667,0.06314102564102564,0.4735576923076923,0.5379781394951086,0.44375,-0.06442044718741635
SCAR,2010,10,10,1,0.9,0.054166666666666675,0.5416666666666667,0.5942982373494624,0.4,-0.05263157068279567
South Africa,2010,7,6,2,0.6666666666666666,0.1818181818181818,0.5454545454545454,0.6029414379058008,0.5141065830721003,-0.05748689245125538
Spain,2010,7,9,3,0.6666666666666666,0.1736111111111111,0.5208333333333334,0.6024239105158984,0.49750145687645686,-0.08159057718256502
Sweden,2010,9,4,0,1.0,0.0,,,,
UNEP,2010,4,3,0,1.0,0.0,,,,
Ukraine,2010,7,7,0,1.0,0.0,,,,
United Kingdom,2010,15,15,4,0.7333333333333333,0.14262820512820512,0.5348557692307692,0.5656192306223633,0.49392924783549785,-0.030763461391594138
United States,2010,10,13,3,0.7692307692307693,0.11945266272189349,0.5176282051282052,0.5861369435399542,0.4890705128205128,-0.06850873841174898
Uruguay,2010,10,11,2,0.8181818181818182,0.09818181818181819,0.54,0.6043379983328919,0.4914772727272727,-0.06433799833289189
Venezuela,2010,2,2,0,1.0,0.0,,,,
ACAP,2011,2,2,0,1.0,0.0,,,,
ASOC,2011,12,14,3,0.7857142857142857,0.11342532467532467,0.5293181818181818,0.5692265229905202,0.5079196570972887,-0.039908341172338435
Argentina,2011,11,9,0,1.0,0.0,,,,
Australia,2011,13,13,3,0.7692307692307693,0.11692307692307692,0.5066666666666667,0.5714735231018699,0.5,-0.06480685643520323
Belarus,2011,2,1,0,1.0,0.0,,,,
Belgium,2011,9,8,0,1.0,0.0,,,,
Brazil,2011,10,9,0,1.0,0.0,,,,
Bulgaria,2011,4,6,2,0.6666666666666666,0.19505494505494503,0.5851648351648351,0.6877692189765058,0.5696573340874811,-0.1026043838116707
CCAMLR,2011,2,2,0,1.0,0.0,,,,
COMNAP,2011,11,10,1,0.9,0.06999999999999999,0.7,0.5916665853331928,0.4666666666666667,0.10833341466680713
Canada,2011,2,1,0,1.0,0.0,,,,
Chile,2011,10,10,1,0.9,0.03846153846153846,0.3846153846153846,0.6032095089959801,0.4482758620689655,-0.21859412438059556
China,2011,8,8,1,0.875,0.0546875,0.4375,0.5849669931346189,0.4375,-0.14746699313461886
Czechia,2011,2,2,1,0.5,0.32,0.64,0.7017057250221044,0.48,-0.06170572502210436
Ecuador,2011,8,8,1,0.875,0.09375,0.75,0.6317895810858832,0.48,0.11821041891411677
Finland,2011,4,5,1,0.8,0.11200000000000002,0.56,0.6870720286359312,0.5172413793103448,-0.12707202863593114
France,2011,15,11,0,1.0,0.0,,,,
Germany,2011,11,12,3,0.75,0.14897435897435898,0.5958974358974359,0.5773468424044195,0.495579133510168,0.018550593493016465
IAATO,2011,6,6,1,0.8333333333333334,0.09999999999999999,0.6,0.6215130563877602,0.5,-0.021513056387760243
IHO,2011,2,1,0,1.0,0.0,,,,
IMO,2011,1,1,0,1.0,0.0,,,,
IPY-IPO,2011,1,1,0,1.0,0.0,,,,
IUCN,2011,3,3,1,0.6666666666666666,0.2333333333333333,0.7,0.6875564068689042,0.4666666666666667,0.012443593131095776
India,2011,8,8,1,0.875,0.0703125,0.5625,0.6288355193434729,0.4375,-0.06633551934347293
Italy,2011,5,5,0,1.0,0.0,,,,
Japan,2011,9,9,0,1.0,0.0,,,,
Korea (ROK),2011,6,7,1,0.8571428571428571,0.0844155844155844,0.5909090909090908,0.6207819145313246,0.46153846153846156,-0.029872823622233757
Netherlands,2011,4,6,2,0.6666666666666666,0.21615384615384614,0.6484615384615384,0.663982668624479,0.5284615384615384,-0.015521130162940544
New Zealand,2011,17,15,1,0.9333333333333333,0.03846153846153846,0.5769230769230769,0.5434445602718515,0.375,0.033478516651225365
Norway,2011,10,11,2,0.8181818181818182,0.09090909090909091,0.5,0.5836965126665737,0.4903409090909091,-0.08369651266657374
Peru,2011,6,7,1,0.8571428571428571,0.07142857142857142,0.5,0.6090286298387211,0.3846153846153846,-0.10902862983872108
Poland,2011,1,1,0,1.0,0.0,,,,
Romania,2011,8,8,1,0.875,0.0859375,0.6875,0.6339715801893206,0.44509283819628653,0.05352841981067935
Russian Federation,2011,15,15,3,0.8,0.11226315789473684,0.5613157894736842,0.558980451651595,0.4999014778325123,0.0023353378220891674
SCAR,2011,10,11,2,0.8181818181818182,0.09772727272727272,0.5375,0.6059296467351107,0.4891666666666667,-0.06842964673511076
South Africa,2011,6,5,0,1.0,0.0,,,,
Spain,2011,9,9,0,1.0,0.0,,,,
Sweden,2011,4,3,0,1.0,0.0,,,,
UNEP,2011,3,4,1,0.75,0.15384615384615385,0.6153846153846154,0.6986324918875829,0.5,-0.0832478765029675
Ukraine,2011,7,8,1,0.875,0.09,0.72,0.6261667773459356,0.4697860962566845,0.09383322265406435
United Kingdom,2011,15,15,5,0.6666666666666666,0.17086363636363636,0.5125909090909091,0.5676528979292655,0.5207586578122423,-0.055061988838356446
United States,2011,13,13,2,0.8461538461538461,0.08838757396449705,0.5745192307692308,0.5911406505123911,0.47692307692307695,-0.016621419743160226
Uruguay,2011,11,12,2,0.8333333333333334,0.09191919191919191,0.5515151515151515,0.5980929315951121,0.46875,-0.04657778007996061
Venezuela,2011,2,2,0,1.0,0.0,,,,
ACAP,2012,2,2,0,1.0,0.0,,,,
ASOC,2012,14,13,1,0.9230769230769231,0.04524886877828054,0.5882352941176471,0.5596608959223403,0.4545454545454546,0.028574398195306827
Argentina,2012,9,8,2,0.75,0.1268028846153846,0.5072115384615384,0.6152729761012595,0.5135744168356998,-0.10806143763972109
Australia,2012,13,15,3,0.8,0.11185897435897436,0.5592948717948718,0.5699665426568972,0.4849166666666667,-0.010671670862025362
Belgium,2012,8,8,1,0.875,0.0625,0.5,0.5894816567053636,0.4545454545454546,-0.08948165670536357
Brazil,2012,9,10,1,0.9,0.05454545454545454,0.5454545454545454,0.5933125101456317,0.4375,-0.047857964691086274
Bulgaria,2012,6,6,0,1.0,0.0,,,,
CCAMLR,2012,2,2,0,1.0,0.0,,,,
COMNAP,2012,10,8,1,0.875,0.0703125,0.5625,0.606707283850362,0.4375,-0.04420728385036199
Canada,2012,1,1,0,1.0,0.0,,,,
Chile,2012,10,11,1,0.9090909090909091,0.04924242424242425,0.5416666666666667,0.6069977254955049,0.4611888111888112,-0.06533105882883816
China,2012,8,9,1,0.8888888888888888,0.05333333333333333,0.48,0.5903556761105696,0.4375,-0.11035567611056962
Czechia,2012,2,2,0,1.0,0.0,,,,
Ecuador,2012,8,7,0,1.0,0.0,,,,
Finland,2012,5,4,0,1.0,0.0,,,,
France,2012,11,9,0,1.0,0.0,,,,
Germany,2012,12,12,3,0.75,0.13141025641025642,0.5256410256410257,0.5627057141134727,0.49116763280579073,-0.03706468847244704
IAATO,2012,6,5,0,1.0,0.0,,,,
IHO,2012,1,1,0,1.0,0.0,,,,
IMO,2012,1,1,0,1.0,0.0,,,,
IPY-IPO,2012,1,1,0,1.0,0.0,,,,
IUCN,2012,3,4,2,0.5,0.25,0.5,0.6673089644110917,0.5520833333333334,-0.16730896441109167
India,2012,8,7,0,1.0,0.0,,,,
Italy,2012,5,5,0,1.0,0.0,,,,
Japan,2012,9,9,1,0.8888888888888888,0.07692307692307693,0.6923076923076923,0.6483162171313259,0.48,0.04399147517636637
Korea (ROK),2012,7,8,2,0.75,0.1146875,0.45875,0.6267820977910474,0.505837703962704,-0.16803209779104744
Netherlands,2012,6,7,2,0.7142857142857143,0.1709090909090909,0.5981818181818181,0.6310232884931161,0.5195000000000001,-0.032841470311297916
New Zealand,2012,15,16,2,0.875,0.0634014423076923,0.5072115384615384,0.5425613952630853,0.4461206896551724,-0.0353498568015469
Norway,2012,11,10,0,1.0,0.0,,,,
Peru,2012,7,4,0,1.0,0.0,,,,
Poland,2012,1,1,0,1.0,0.0,,,,
Portugal,2012,1,1,0,1.0,0.0,,,,
Romania,2012,8,9,1,0.8888888888888888,0.05333333333333333,0.48,0.6336302194931505,0.4375,-0.15363021949315048
Russian Federation,2012,15,16,3,0.8125,0.09375,0.5,0.5460130395303664,0.480727466977467,-0.046013039530366395
SCAR,2012,11,11,1,0.9090909090909091,0.05113636363636364,0.5625,0.630755388552055,0.4666666666666667,-0.06825538855205504
South Africa,2012,5,6,1,0.8333333333333334,0.08974358974358974,0.5384615384615384,0.6461685683267127,0.48,-0.10770702986517422
Spain,2012,9,9,1,0.8888888888888888,0.05333333333333333,0.48,0.5805896984129235,0.4375,-0.10058969841292353
Sweden,2012,3,2,1,0.5,0.25,0.5,0.6518596603300618,0.5,-0.15185966033006182
UNEP,2012,4,3,1,0.6666666666666666,0.17333333333333334,0.52,0.6826096552281391,0.48,-0.16260965522813908
Ukraine,2012,8,8,0,1.0,0.0,,,,
United Kingdom,2012,15,13,0,1.0,0.0,,,,
United States,2012,13,11,0,1.0,0.0,,,,
Uruguay,2012,12,11,0,1.0,0.0,,,,
Venezuela,2012,2,1,0,1.0,0.0,,,,
ACAP,2013,2,2,0,1.0,0.0,,,,
ASOC,2013,13,13,1,0.9230769230769231,0.04545454545454545,0.5909090909090908,0.5718788747536759,0.4545454545454546,0.019030216155414892
Argentina,2013,8,9,2,0.7777777777777778,0.09324009324009325,0.4195804195804196,0.6143210319508907,0.4981447963800905,-0.19474061237047113
Australia,2013,15,13,0,1.0,0.0,,,,
Belgium,2013,8,10,4,0.6,0.2100974025974026,0.5252435064935065,0.6224334638063087,0.5405657187639946,-0.09718995731280222
Brazil,2013,10,10,2,0.8,0.10882352941176472,0.5441176470588236,0.5868785149885789,0.47560096153846154,-0.04276086792975531
Bulgaria,2013,6,5,0,1.0,0.0,,,,
CCAMLR,2013,2,3,1,0.6666666666666666,0.2619047619047619,0.7857142857142857,0.7754912179774247,0.6482692307692308,0.010223067736860991
COMNAP,2013,8,11,3,0.7272727272727273,0.1506542699724518,0.55239898989899,0.6282629091265661,0.5428257575757576,-0.07586391922757618
Canada,2013,1,1,0,1.0,0.0,,,,
Chile,2013,11,11,1,0.9090909090909091,0.06993006993006992,0.7692307692307692,0.6161418255051355,0.4611888111888112,0.15308894372563364
China,2013,9,8,3,0.625,0.18760416666666666,0.5002777777777777,0.5964935000738499,0.5125000000000001,-0.09621572229607223
Czechia,2013,2,2,0,1.0,0.0,,,,
Ecuador,2013,7,8,1,0.875,0.0703125,0.5625,0.6429065802165167,0.48275862068965514,-0.0804065802165167
Finland,2013,4,3,0,1.0,0.0,,,,
France,2013,9,8,3,0.625,0.19886363636363635,0.5303030303030303,0.5948691123531641,0.5091982323232322,-0.06456608205013381
Germany,2013,12,14,4,0.7142857142857143,0.14438686313686314,0.5053540209790209,0.5752984185299327,0.498812095295678,-0.06994439755091175
IAATO,2013,5,6,2,0.6666666666666666,0.22120098039215685,0.6636029411764706,0.6613873772700438,0.5326923076923077,0.002215563906426743
IHO,2013,1,3,2,0.3333333333333333,0.3499999999999999,0.5249999999999999,0.7634025701310185,0.6499999999999999,-0.23840257013101862
IMO,2013,1,1,0,1.0,0.0,,,,
IPY-IPO,2013,1,1,0,1.0,0.0,,,,
IUCN,2013,4,4,0,1.0,0.0,,,,
India,2013,7,8,3,0.625,0.18286931818181817,0.4876515151515151,0.6295251272673688,0.5320360334110334,-0.14187361211585364
Italy,2013,5,9,4,0.5555555555555556,0.2443181818181818,0.5497159090909091,0.6066424003797927,0.5214238204324412,-0.05692649128888361
Japan,2013,9,9,2,0.7777777777777778,0.13666666666666666,0.615,0.6203862646654615,0.5125111626878868,-0.005386264665461549
Korea (ROK),2013,8,8,1,0.875,0.06770833333333334,0.5416666666666667,0.6107071840138084,0.4375,-0.06904051734714167
Netherlands,2013,7,9,2,0.7777777777777778,0.10606060606060606,0.4772727272727273,0.5985183369791129,0.4980440177638454,-0.12124560970638565
New Zealand,2013,16,15,5,0.6666666666666666,0.17803030303030304,0.5340909090909091,0.5423299648491254,0.482593284301905,-0.008239055758216374
Norway,2013,10,12,2,0.8333333333333334,0.09495192307692307,0.5697115384615384,0.5888859511683588,0.46008947230929986,-0.01917441270682041
Peru,2013,4,3,1,0.6666666666666666,0.20833333333333334,0.625,0.6798816302949924,0.4545454545454546,-0.05488163029499238
Poland,2013,1,1,0,1.0,0.0,,,,
Portugal,2013,1,1,0,1.0,0.0,,,,
Romania,2013,9,9,0,1.0,0.0,,,,
Russian Federation,2013,16,13,0,1.0,0.0,,,,
SCAR,2013,11,11,1,0.9090909090909091,0.05454545454545454,0.6,0.6150861623408264,0.49833333333333335,-0.015086162340826381
South Africa,2013,6,7,2,0.7142857142857143,0.13999999999999999,0.49,0.6336613522669103,0.5045673076923077,-0.14366135226691035
Spain,2013,9,9,2,0.7777777777777778,0.1111111111111111,0.5,0.5975498858730857,0.4806682692307692,-0.09754988587308566
Sweden,2013,2,2,0,1.0,0.0,,,,
UNEP,2013,3,3,0,1.0,0.0,,,,
Ukraine,2013,8,8,1,0.875,0.06818181818181818,0.5454545454545454,0.6190207642228179,0.4545454545454546,-0.07356621876827252
United Kingdom,2013,13,13,2,0.8461538461538461,0.08342760180995475,0.5422794117647058,0.5780906255486977,0.4602272727272727,-0.03581121378399188
United States,2013,11,11,1,0.9090909090909091,0.053475935828877004,0.5882352941176471,0.5911990821351703,0.44999999999999996,-0.0029637880175231723
Uruguay,2013,11,13,2,0.8461538461538461,0.08461538461538462,0.55,0.5838634933651541,0.47368278273450687,-0.03386349336515404
Venezuela,2013,1,3,2,0.3333333333333333,0.40598290598290604,0.608974358974359,0.7922215959328028,0.5696264367816092,-0.1832472369584438
WMO,2013,1,2,1,0.5,0.34615384615384615,0.6923076923076923,0.7437533156498674,0.4482758620689655,-0.05144562334217506
ASOC,2014,13,13,1,0.9230769230769231,0.03692307692307692,0.48,0.583866705305477,0.4611888111888112,-0.10386670530547704
ATS,2014,1,1,0,1.0,0.0,,,,
Argentina,2014,9,9,2,0.7777777777777778,0.13510101010101008,0.6079545454545454,0.6090760723463043,0.4951923076923077,-0.0011215268917589283
Australia,2014,13,13,2,0.8461538461538461,0.09590080971659919,0.6233552631578947,0.57577034085381,0.4814742647058824,0.04758492230408473
Austria,2014,1,1,0,1.0,0.0,,,,
Belarus,2014,1,2,1,0.5,0.4666666666666667,0.9333333333333333,0.8729108851256925,0.7142857142857143,0.060422448207640866
Belgium,2014,10,10,2,0.8,0.12085020242914979,0.604251012145749,0.5916980504296067,0.5,0.012552961716142286
Brazil,2014,10,8,1,0.875,0.04807692307692307,0.3846153846153846,0.6136277588097288,0.4545454545454546,-0.22901237419434417
Bulgaria,2014,5,4,0,1.0,0.0,,,,
CCAMLR,2014,3,3,0,1.0,0.0,,,,
