actor_i,actor_j,portfolio_emd_1d,geo_km,log_geo_km
Bulgaria,Italy,0.18345257677543575,1022.19147945931,6.9297041108066875
Bulgaria,Japan,0.09869608829870179,8945.6284204447,9.098920247297908
Bulgaria,Kazakhstan,0.1257468419980764,3228.619529651699,8.079809934658767
Bulgaria,Korea (DPRK),0.12024265494763521,7891.248054779379,8.97350958317832
Bulgaria,Korea (ROK),0.12978539220467658,8266.10134099486,9.019918254976547
Bulgaria,Malaysia,0.09383057497554169,8652.835219215474,9.065642317228313
Bulgaria,Netherlands,0.242654866747794,1801.117054141743,7.4961623370349235
Bulgaria,New Zealand,0.3388354564055588,17558.548510308276,9.773296204906403
Bulgaria,Norway,0.3209411725584166,4139.77785232808,8.32839740652172
Bulgaria,Peru,0.10010663149120502,11601.231252610889,9.358866513928199
Bulgaria,Poland,0.23603186846313143,1113.9176731153252,7.015638515705463
Bulgaria,Portugal,0.051887245477901266,2810.704262552579,7.941190358168941
Bulgaria,Romania,0.06535096956651158,373.8841566053307,5.923946007737688
Bulgaria,Russian Federation,0.2050425248777415,4592.781912444842,8.43224120060426
Bulgaria,Slovakia,0.1405839641092636,789.3794267967734,6.671247101065941
Bulgaria,South Africa,0.20760262512809913,7911.975807257632,8.976132815570072
Bulgaria,Spain,0.2672912620860784,2401.743971435574,7.783950407215114
Bulgaria,Sweden,0.2045819600405667,2275.851592383132,7.730109587664687
Bulgaria,Switzerland,0.08804526662793397,1401.8012597071388,7.245513302701245
Bulgaria,Türkiye,0.04030342899145274,981.418729021158,6.888999207456952
Bulgaria,Ukraine,0.19076817766487572,811.9562924409105,6.699446511669737
Bulgaria,United Kingdom,0.3303881282755352,2335.7208556226865,7.75607584007095
Bulgaria,United States,0.3122887465785001,9498.178102778524,9.158855280541863
Bulgaria,Uruguay,0.1371860334926784,11723.197770970393,9.369324873267356
Bulgaria,Venezuela,0.05848461768237282,9564.910947566756,9.165856571592304
Canada,Chile,0.17966185975829546,12844.422370635399,9.46066493933357
Canada,China,0.20256308840763937,9265.395865547735,9.13404186479511
Canada,Colombia,0.09200008810138587,6738.828256479161,8.815641339605763
Canada,Czechia,0.09064820195505587,7171.188784557317,8.877826719649187
Canada,Denmark,0.09866008309959388,6337.50241048191,8.754240028251541
Canada,Ecuador,0.07635225399442727,7106.272745316171,8.868733158241822
Canada,Estonia,0.08724269150285437,6620.321644851762,8.797899234586366
Canada,Finland,0.07554444510071939,6014.54168199026,8.701935429660384
Canada,France,0.20652805015584583,6907.402103192051,8.840348884158892
Canada,Germany,0.2115314157734393,6826.037321693821,8.828499597030643
Canada,Greece,0.11651299817986219,8453.742389027237,9.042364508581453
Canada,Iceland,0.11561239088294475,4602.545340821595,8.434364764405062
Canada,India,0.13313115987580262,11233.407020970832,9.32664738738117
Canada,Italy,0.1329442683952,7758.019877662701,8.956482410211466
Canada,Japan,0.04985978784776746,7861.799597468835,8.969770815637702
Canada,Kazakhstan,0.17743607433008785,8360.740626213554,9.031302293807078
Canada,Korea (DPRK),0.1142541651451639,7976.6734849538225,8.984276747012943
Canada,Korea (ROK),0.08040389422504447,8332.455518642773,9.02791347187095
Canada,Malaysia,0.14551980730755315,12678.441849754716,9.447658337929084
Canada,Netherlands,0.19096563441578251,6576.63728238781,8.791278842379292
Canada,New Zealand,0.28714622407354745,12586.689682760516,9.440395160198806
Canada,Norway,0.2692519402264052,4528.651694090762,8.418179534900158
Canada,Peru,0.06173130657694939,7979.722619521179,8.984658930381231
Canada,Poland,0.18434263613112,7084.509809412526,8.865665962633505
Canada,Portugal,0.054064841276750826,7072.19605394181,8.86392632649286
Canada,Romania,0.058410682288543014,7833.272736638504,8.966135675685944
Canada,Russian Federation,0.15335329254573007,6997.83463788617,8.853356042737921
Canada,Slovakia,0.11561239088294475,7414.937954110885,8.911251886918802
Canada,South Africa,0.1559133927960877,15384.518965005373,9.641117020774347
Canada,Spain,0.21560202975406687,7279.891263000224,8.892871204678114
Canada,Sweden,0.15700654840913209,5961.3286431236065,8.693048661913522
Canada,Switzerland,0.06723732991494133,7176.23788108152,8.878530552726756
Canada,Türkiye,0.09388680612157117,8934.909458967113,9.09772129424248
Canada,Ukraine,0.14152402884980894,7749.596470154371,8.95539605262461
Canada,United Kingdom,0.2786988959435238,6094.278713883555,8.715105694286407
Canada,United States,0.26059951424648875,2311.2202973007284,7.745530931261579
Canada,Uruguay,0.08791950283731904,11147.653906099567,9.318984342739546
Canada,Venezuela,0.10921836251095643,6808.483105060521,8.825924629113437
Chile,China,0.04994661304761027,17910.26419769354,9.793129246352631
Chile,Colombia,0.26316308006846045,6452.300268593634,8.772191977001885
Chile,Czechia,0.10366587782596284,14004.935112384586,9.54716505450851
Chile,Denmark,0.24844631645499463,14210.624429803838,9.561745163109766
Chile,Ecuador,0.11523235271203079,5861.3301286851165,8.676131841231248
Chile,Estonia,0.2212189270162034,15117.727937632806,9.623623369766976
Chile,Finland,0.10550677663071639,15553.807473623458,9.652060741244853
Chile,France,0.031435936903380875,13098.120642353393,9.480224036481754
Chile,Germany,0.04652302443644411,13877.48705789133,9.538023169967328
Chile,Greece,0.272691829130127,13515.463590752777,9.51158976006474
Chile,Iceland,0.2523122602229624,13935.727906226299,9.542211174377158
Chile,India,0.046530699882492914,15595.859033371344,9.65476071142169
Chile,Italy,0.05744663341046601,13274.159701289671,9.493574544768775
Chile,Japan,0.1326550037916051,17071.822486009805,9.745184575526475
Chile,Kazakhstan,0.3570979340883833,16931.44285659093,9.736927696338688
Chile,Korea (DPRK),0.27043299609542876,18051.55904418569,9.800987333670136
Chile,Korea (ROK),0.10256001555361705,17609.02080496238,9.776166595456042
Chile,Malaysia,0.3251816670658486,14386.769782235771,9.574064298118204
Chile,Netherlands,0.032973128256499215,13686.503396667087,9.524165472705588
Chile,New Zealand,0.10748436431525193,7954.867057795104,8.981539228852872
Chile,Norway,0.08959008046810969,15929.073368120045,9.675901232230421
Chile,Peru,0.1417906283849617,5007.054095163156,8.518603016178744
Chile,Poland,0.04188159883935465,14347.796474217308,9.571351653593196
Chile,Portugal,0.1823756820656277,11937.485102105502,9.387438736797044
Chile,Romania,0.1712490886155811,14197.246663431702,9.56080332784748
Chile,Russian Federation,0.026308567212565456,18577.420581544757,9.829702175041717
Chile,Slovakia,0.2523122602229624,14142.574237254375,9.556944976434885
Chile,South Africa,0.04538309054796738,7857.663603219874,8.969244589736524
Chile,Spain,0.04048154352512474,12205.835041347666,9.40966939845861
Chile,Sweden,0.06283338536648622,14864.89109548883,9.606757409168484
Chile,Switzerland,0.2356368062547608,13396.538533751382,9.502751634192302
Chile,Türkiye,0.2651546877795249,14319.085454988488,9.569348573600083
Chile,Ukraine,0.05254306240080046,14784.771758813271,9.601352994819655
Chile,United Kingdom,0.09916949787624971,13553.612165682256,9.514408371274737
Chile,United States,0.08093765448819322,10533.21601863243,9.262288973373266
Chile,Uruguay,0.09429703413360349,2648.7147491466953,7.881829801007568
Chile,Venezuela,0.2888802222692519,6739.694111499823,8.815769818825995
China,Colombia,0.28238784735850275,15392.135590579093,9.641611982025932
China,Czechia,0.12289064511600509,6536.951284795322,8.785226171358454
China,Denmark,0.2550301219851559,6643.401877242558,8.801379442183832
