actor_a,actor_b,actor_a_idx,actor_b_idx,regime_pair,k_small,k_large,union_topics,sum_support,distinct_share,pairwise_overlap,distinct_share_null,pairwise_overlap_null,distinct_share_resid,pairwise_overlap_resid
Canada,Bulgaria,6,10,1-1,6,9,12,15,0.8,0.25,0.8276240256295879,0.21688114964858995,-0.02762402562958788,0.033118850351410045
Canada,Venezuela,6,11,1-1,5,6,8,11,0.7272727272727273,0.375,0.828568535665007,0.21525777302521332,-0.1012958083922797,0.15974222697478668
Canada,Türkiye,6,12,1-1,6,6,11,12,0.9166666666666666,0.09090909090909091,0.8261088741144365,0.21894726535106926,0.09055779255223018,-0.12803817444197835
Poland,Brazil,7,8,2-2,11,16,20,27,0.7407407407407407,0.35,0.8283936263991887,0.2155824483498886,-0.08765288565844798,0.13441755165011138
Poland,Portugal,7,9,1-2,7,11,15,18,0.8333333333333334,0.2,0.8271911251966874,0.2175305002979406,0.00614220813664601,-0.017530500297940593
Poland,Bulgaria,7,10,1-2,9,11,16,20,0.8,0.25,0.8276240256295879,0.2168811496485899,-0.02762402562958788,0.0331188503514101
Poland,Venezuela,7,11,1-2,5,11,14,16,0.875,0.14285714285714285,0.826649999655562,0.2182726153257699,0.04835000034443804,-0.07541547246862704
Poland,Türkiye,7,12,1-2,6,11,16,17,0.9411764705882353,0.0625,0.825790564972598,0.21931621458365486,0.11538590561563733,-0.15681621458365486
Brazil,Portugal,8,9,1-2,7,16,20,23,0.8695652173913043,0.15,0.8267205812478827,0.21817985094729123,0.0428446361434216,-0.06817985094729123
Brazil,Bulgaria,8,10,1-2,9,16,19,25,0.76,0.3157894736842105,0.8281435061490684,0.2160267408994443,-0.06814350614906839,0.09976273278476622
Brazil,Venezuela,8,11,1-2,5,16,18,21,0.8571428571428571,0.16666666666666666,0.8268819106017585,0.21796340073084103,0.030260946541098566,-0.05129673406417437
Brazil,Türkiye,8,12,1-2,6,16,18,22,0.8181818181818182,0.2222222222222222,0.8273878981207331,0.21724190000934027,-0.009206079938914868,0.0049803222128819435
Portugal,Bulgaria,9,10,1-1,7,9,12,16,0.75,0.3333333333333333,0.8282733762789386,0.21579889856633888,-0.0782733762789386,0.11753443476699443
Portugal,Venezuela,9,11,1-1,5,7,10,12,0.8333333333333334,0.2,0.8271911251966876,0.2175305002979406,0.006142208136645788,-0.017530500297940593
Portugal,Türkiye,9,12,1-1,6,7,11,13,0.8461538461538461,0.18181818181818182,0.8270246250301874,0.21776662780679537,0.01912922112365878,-0.03594844598861355
Bulgaria,Venezuela,10,11,1-1,5,9,11,14,0.7857142857142857,0.2727272727272727,0.8278095543865451,0.21658599026252143,-0.042095268672259434,0.05614128246475128
Bulgaria,Türkiye,10,12,1-1,6,9,12,15,0.8,0.25,0.8276240256295879,0.21688114964858995,-0.02762402562958788,0.033118850351410045
Venezuela,Türkiye,11,12,1-1,5,6,9,11,0.8181818181818182,0.2222222222222222,0.828568535665007,0.21525777302521332,-0.010386717483188757,0.006964449197008893
