actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid
Peru,Poland,Portugal,25,26,31,1-1-2,7,11,13,23,31,0.7419354838709677,17,0.19215686274509802,0.7177337321509654,0.203860358321975,0.024201751720002385,-0.011703495576876971
Peru,Poland,Colombia,25,26,32,1-1-2,6,11,13,22,30,0.7333333333333333,16,0.19999999999999998,0.7153484119359815,0.203914667327906,0.01798492139735175,-0.0039146673279060185
Peru,Poland,Bulgaria,25,26,33,1-1-2,9,11,13,23,33,0.696969696969697,16,0.24803921568627452,0.6985869533639457,0.22144191328705398,-0.0016172563942487006,0.026597302399220535
Peru,Poland,Venezuela,25,26,34,1-1-2,5,11,13,21,29,0.7241379310344828,15,0.20952380952380953,0.7183415842705888,0.20225374194437998,0.005796346763893956,0.007270067579429551
Peru,Poland,Türkiye,25,26,35,1-1-2,6,11,13,23,30,0.7666666666666667,17,0.15,0.7153484119359815,0.203914667327906,0.05131825473068519,-0.05391466732790601
Peru,Chile,Brazil,25,27,28,1-2-2,13,13,16,27,42,0.6428571428571429,13,0.24681159420289855,0.6605760298880547,0.25719608357063733,-0.017718887030911845,-0.01038448936773878
Peru,Chile,Romania,25,27,29,1-2-2,9,13,13,25,35,0.7142857142857143,16,0.19414905550320816,0.6928138803342364,0.22262788993784416,0.021471833951477892,-0.028478834434636002
Peru,Chile,Ecuador,25,27,30,1-2-2,13,13,13,28,39,0.717948717948718,18,0.18344940084070518,0.6791699493898974,0.23837187230262746,0.038778768558820564,-0.05492247146192228
Peru,Chile,Portugal,25,27,31,1-1-2,7,13,13,27,33,0.8181818181818182,22,0.11984564993045273,0.7026027559410861,0.21729021612389493,0.11557906224073211,-0.0974445661934422
Peru,Chile,Colombia,25,27,32,1-1-2,6,13,13,24,32,0.75,18,0.1948671497584541,0.7125838424225994,0.20646965814456053,0.03741615757740058,-0.011602508386106436
Peru,Chile,Bulgaria,25,27,33,1-1-2,9,13,13,26,35,0.7428571428571429,18,0.17485080988917304,0.6928138803342364,0.22262788993784416,0.05004326252290647,-0.04777708004867112
Peru,Chile,Venezuela,25,27,34,1-1-2,5,13,13,24,31,0.7741935483870968,19,0.18038302277432713,0.7129751031548225,0.20658832012152112,0.061218445232274266,-0.026205297347193984
Peru,Chile,Türkiye,25,27,35,1-1-2,6,13,13,25,32,0.78125,19,0.14519394714407505,0.7125838424225994,0.20646965814456053,0.06866615757740058,-0.06127571100048548
Peru,Brazil,Romania,25,28,29,1-2-2,9,13,16,21,38,0.5526315789473685,9,0.4049019607843138,0.6666509306877729,0.2510826179060001,-0.11401935174040445,0.15381934287831367
Peru,Brazil,Ecuador,25,28,30,1-2-2,13,13,16,23,42,0.5476190476190477,9,0.40480367585630744,0.6605760298880547,0.25719608357063733,-0.11295698226900708,0.1476075922856701
Peru,Brazil,Portugal,25,28,31,1-1-2,7,13,16,24,36,0.6666666666666666,15,0.25882352941176473,0.70022839876586,0.2104207651000032,-0.03356173209919333,0.04840276431176152
Peru,Brazil,Colombia,25,28,32,1-1-2,6,13,16,21,35,0.6,10,0.31296296296296294,0.7022850797321386,0.2110673351327567,-0.10228507973213863,0.10189562783020625
Peru,Brazil,Bulgaria,25,28,33,1-1-2,9,13,16,23,38,0.6052631578947368,13,0.3533023735810114,0.6666509306877729,0.2510826179060001,-0.06138777279303609,0.10221975567501129
Peru,Brazil,Venezuela,25,28,34,1-1-2,5,13,16,21,34,0.6176470588235294,11,0.3007936507936508,0.6977854999575587,0.21703623399020625,-0.08013844113402924,0.08375741680344453
Peru,Brazil,Türkiye,25,28,35,1-1-2,6,13,16,21,35,0.6,9,0.28657407407407404,0.7022850797321386,0.2110673351327567,-0.10228507973213863,0.07550673894131735
Peru,Romania,Ecuador,25,29,30,1-2-2,9,13,13,22,35,0.6285714285714286,12,0.30240429505135386,0.6928138803342364,0.22262788993784416,-0.06424245176280785,0.0797764051135097
Peru,Romania,Portugal,25,29,31,1-1-2,7,9,13,21,29,0.7241379310344828,15,0.20448179271708686,0.704063702105582,0.21597677239229265,0.02007422892890076,-0.011494979675205796
Peru,Romania,Colombia,25,29,32,1-1-2,6,9,13,19,28,0.6785714285714286,13,0.2702614379084967,0.7152095080546694,0.2040657040563421,-0.036638079483240826,0.0661957338521546
Peru,Romania,Bulgaria,25,29,33,1-1-2,9,9,13,20,31,0.6451612903225806,12,0.2913165266106443,0.7023987763883434,0.21934083939372673,-0.05723748606576273,0.07197568721691755
Peru,Romania,Venezuela,25,29,34,1-1-2,5,9,13,18,27,0.6666666666666666,11,0.24883286647992528,0.7165916994372168,0.20411722196281354,-0.04992503277055016,0.04471564451711174
Peru,Romania,Türkiye,25,29,35,1-1-2,6,9,13,20,28,0.7142857142857143,14,0.2118212669683258,0.7152095080546694,0.2040657040563421,-0.0009237937689551279,0.007755562911983677
Peru,Ecuador,Portugal,25,30,31,1-1-2,7,13,13,24,33,0.7272727272727273,17,0.19701213818860877,0.7026027559410861,0.21729021612389493,0.02466997133164117,-0.02027807793528616
Peru,Ecuador,Colombia,25,30,32,1-1-2,6,13,13,21,32,0.65625,13,0.28730158730158734,0.7125838424225994,0.20646965814456053,-0.05633384242259942,0.0808319291570268
Peru,Ecuador,Bulgaria,25,30,33,1-1-2,9,13,13,23,35,0.6571428571428571,14,0.27544351073762835,0.6928138803342364,0.22262788993784416,-0.03567102319137927,0.05281562079978419
Peru,Ecuador,Venezuela,25,30,34,1-1-2,5,13,13,22,31,0.7096774193548387,16,0.24126984126984122,0.7129751031548225,0.20658832012152112,-0.0032976837999837416,0.0346815211483201
Peru,Ecuador,Türkiye,25,30,35,1-1-2,6,13,13,22,32,0.6875,14,0.23075396825396824,0.7125838424225994,0.20646965814456053,-0.025083842422599423,0.02428431010940771
Peru,Portugal,Colombia,25,31,32,1-1-1,6,7,13,19,26,0.7307692307692307,14,0.2083184789067142,0.7120242999656793,0.21545169578157194,0.01874493080355144,-0.00713321687485774
Peru,Portugal,Bulgaria,25,31,33,1-1-1,7,9,13,20,29,0.6896551724137931,14,0.2679738562091503,0.704063702105582,0.21597677239229265,-0.014408529691788852,0.051997083816857664
Peru,Portugal,Venezuela,25,31,34,1-1-1,5,7,13,18,25,0.72,13,0.22072829131652663,0.7132314541907646,0.2143825313546676,0.00676854580923536,0.006345759961859043
