model,window_end,mean_active_topics_mean,mean_active_topics_q05,mean_active_topics_q25,mean_active_topics_q75,mean_active_topics_q95,mean_topic_popularity_mean,mean_topic_popularity_q05,mean_topic_popularity_q25,mean_topic_popularity_q75,mean_topic_popularity_q95,mean_active_topics_obs,mean_topic_popularity_obs
one_stage,1999,3.800685975609756,3.5853658536585367,3.682926829268293,3.902439024390244,4.045121951219512,3.4628472222222224,3.2666666666666666,3.3555555555555556,3.5555555555555554,3.6855555555555557,3.7560975609756095,3.422222222222222
one_stage,2001,2.8510416666666667,2.7383333333333333,2.8,2.9,2.966666666666667,1.9006944444444445,1.8255555555555556,1.8666666666666667,1.9333333333333333,1.9777777777777779,2.3333333333333335,1.5555555555555556
one_stage,2002,3.6517857142857144,3.4657142857142857,3.5714285714285716,3.7142857142857144,3.8,2.8402777777777777,2.695555555555556,2.7777777777777777,2.888888888888889,2.9555555555555557,3.3714285714285714,2.6222222222222222
one_stage,2003,3.9447115384615383,3.717948717948718,3.8461538461538463,4.0576923076923075,4.153846153846154,3.41875,3.2222222222222223,3.3333333333333335,3.5166666666666666,3.6,3.641025641025641,3.1555555555555554
one_stage,2004,4.022381756756757,3.814864864864865,3.945945945945946,4.108108108108108,4.243243243243243,3.3072916666666665,3.1366666666666667,3.2444444444444445,3.3777777777777778,3.488888888888889,3.5945945945945947,2.9555555555555557
one_stage,2005,4.943256578947368,4.688157894736842,4.815789473684211,5.078947368421052,5.2065789473684205,4.174305555555556,3.958888888888889,4.066666666666666,4.288888888888889,4.3966666666666665,4.394736842105263,3.7111111111111112
one_stage,2006,4.140625,3.9743589743589745,4.0256410256410255,4.256410256410256,4.380769230769231,3.5885416666666665,3.4444444444444446,3.488888888888889,3.688888888888889,3.7966666666666664,3.8974358974358974,3.3777777777777778
one_stage,2007,4.534455128205128,4.256410256410256,4.435897435897436,4.647435897435898,4.842307692307692,3.9298611111111112,3.688888888888889,3.8444444444444446,4.027777777777778,4.196666666666666,4.333333333333333,3.7555555555555555
one_stage,2008,4.551809210526316,4.2894736842105265,4.473684210526316,4.631578947368421,4.7105263157894735,3.84375,3.6222222222222222,3.7777777777777777,3.911111111111111,3.977777777777778,4.368421052631579,3.688888888888889
one_stage,2009,4.466796875,4.225,4.375,4.55625,4.7212499999999995,3.970486111111111,3.7555555555555555,3.888888888888889,4.05,4.196666666666666,3.85,3.422222222222222
one_stage,2010,5.048713235294118,4.794117647058823,4.9338235294117645,5.176470588235294,5.294117647058823,3.814583333333333,3.6222222222222222,3.727777777777778,3.911111111111111,4.0,4.617647058823529,3.488888888888889
one_stage,2011,5.239285714285714,4.975714285714286,5.114285714285714,5.3428571428571425,5.481428571428571,4.075,3.87,3.977777777777778,4.155555555555556,4.263333333333333,4.542857142857143,3.533333333333333
one_stage,2012,4.696428571428571,4.485714285714286,4.6,4.771428571428571,4.91,3.6527777777777777,3.488888888888889,3.577777777777778,3.7111111111111112,3.818888888888889,3.4571428571428573,2.688888888888889
