actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca,fuzzy_class
Poland,47,11,-0.2957953297740981,0.3237311192286684,0.3687894715933,0.4605919406345019,-0.4324020690598889,2,0.776155560448017,5,0.0,Educational issues,0.3687894715933,0.1533411146972985,0.776155560448017,0.0705033248546843,10,0.3237311192286683,0.1288305250863218,0.160505402822698,3.7550664830239295,1.085457640727434,18,0.900511755421287,0.096759349502306,10.334918590747325,1.0947359767928833,0.8744879123865607,Management Plans,2
Chile,13,13,-0.2297540860218991,0.3467449314476932,0.3591321581558954,0.49838971312566,-0.2024420937675958,2,0.6771117826765766,7,0.0,Educational issues,0.4326060447198917,0.2456905351654001,0.6771117826765766,0.0771976821580232,9,0.3467449314476933,0.1437929719502155,0.1736770329887331,4.782638715268677,1.2924514597068548,35,0.932418566000136,0.0438493749249861,22.805342190412453,1.3040179040905344,1.0934520067227993,Inspections,2
Brazil,8,16,-0.3462715102178481,0.3061413636113327,0.3052279433304539,0.4833677225715047,-0.3179102947751021,2,0.7349107091786504,4,0.0,Educational issues,0.4823429046539811,0.2591128505379838,0.7349107091786504,0.0059764402833657,12,0.3061413636113327,0.1439676149531349,0.1684422244035633,4.294308670452224,1.073577167613056,27,0.9031357037360648,0.0722811004883866,13.8348751366987,1.198110233462841,0.9837472999223608,Environmental Impact Assessment EIA Other EIA Matters,1+2
Romania,49,9,-0.5899038754036221,0.2212412438634273,0.2620042318963083,0.3504260869958243,-0.372863574191715,2,0.6459165255420815,4,0.0,Educational issues,0.3076348840643275,0.3540834744579186,0.6459165255420815,0.0,12,0.2212412438634273,0.1022931398558954,0.1221152071731092,3.386705716814671,1.0683867016644633,15,0.8668545058879934,0.1266690377511616,7.894589062596942,0.9786815676294136,0.8671789857215941,Science issues,1+2
Ecuador,18,13,-0.4871630930881434,0.2570439776870981,0.2605546487018962,0.4643805921192603,0.3885830932596243,2,0.5807493185808352,5,0.0,Educational issues,0.2605546487018962,0.3468249516959425,0.5807493185808352,0.0724257297232223,12,0.2570439776870981,0.1272486013352795,0.1618256583006342,4.215671995835185,1.139235419825436,22,0.9453384099930208,0.061750229744687,16.194271732017945,1.2035468835481276,0.9997111184978869,Environmental Impact Assessment EIA Other EIA Matters,1+2
Portugal,48,7,-0.5591297295898747,0.2319653061723672,0.1887137517787509,0.6499318424838739,0.5751928967768016,1,0.7646677864226951,1,0.0,Educational issues,,0.7646677864226951,0.0542550846332959,0.1810771289440091,1,0.2319653061723672,0.1916076575993565,0.2264858825828928,2.8207873676494484,1.0047847336602524,11,0.8153904105092799,0.1910444603794616,5.234383650872431,1.0835950778017334,0.8974247639075075,Educational issues,1
Colombia,15,6,-0.8151428981018468,0.1427507691500248,0.1239191250643634,0.2962915422505421,0.0590715985968355,1,0.64741360873886,2,0.0,Educational issues,0.2605546487018962,0.64741360873886,0.35258639126114,0.0,1,0.1427507691500248,0.0952820626262506,0.1032505980811757,2.7041788116057788,1.046119164533862,9,0.8530734356097953,0.1887318842948894,5.2985217825596544,0.8856457312925576,0.672268791537329,Science issues,1+2
Bulgaria,9,9,-0.8305842979407747,0.1373698063440337,0.1115886883252106,0.4297022299677465,1.0768377392422528,1,0.8051076836943315,1,0.0,Educational issues,,0.8051076836943315,0.1948923163056685,0.0,1,0.1373698063440337,0.123089545071013,0.1497410688944618,3.112544143051039,0.9818983545777378,13,0.8411281847916763,0.1662020037870527,6.016774630956049,0.9137658909681536,0.6698414950457944,Educational issues,1
Malaysia,41,4,-1.0261122533851503,0.0692329361928428,0.0570158275246239,0.1852840687449767,1.0035810368320326,1,1.0,1,0.0,Educational issues,,1.0,0.0,0.0,1,0.0692329361928428,0.0478667614864112,0.0645671178040436,1.6282079851359526,0.8141039925679763,4,0.8141039925679763,0.387481948580996,2.580765384457563,0.4736184812921484,0.3213542010125439,Science issues,1
Venezuela,63,5,-0.925956867567013,0.1041347204564964,0.0570158275246239,0.3630001344877472,0.8492000801951463,1,0.7419313167185287,1,0.0,Educational issues,,0.7419313167185287,0.2580686832814713,0.0,1,0.1041347204564964,0.1111647854729937,0.1264969654709695,1.9959655607759963,0.859615577748036,5,0.859615577748036,0.2888885023669224,3.46154309294692,0.8186201463858945,0.5605297563828816,Educational issues,1+2
Türkiye,57,6,-0.7235011432321846,0.1746857542921252,0.0570158275246239,0.4631103559610395,0.7280975508226,1,0.7486859445829391,3,0.0,Educational issues,0.2840982040334893,0.7486859445829391,0.2513140554170608,0.0,1,0.1746857542921252,0.1432751638721281,0.1613830110281389,2.8631046870786503,1.1076000856027497,13,0.7737201265683432,0.1985836558436932,5.03566114618772,0.9159983458749236,0.6788663920573796,Science issues,1+2
Estonia,19,4,-0.9571974093604988,0.0932481301743147,0.0,0.3029565956921501,0.4869113951333746,1,0.8966911871731358,2,0.0,Educational issues,0.2203005980925824,0.8966911871731358,0.1033088128268641,0.0,1,0.0932481301743147,0.0961805857071428,0.1055732116423388,1.7583577117047715,0.8791788558523858,4,0.8791788558523858,0.3459790691047078,2.890348258892384,0.5364743776504246,0.4174984557344564,Educational issues,1
