draw,pair_key,pair_label,null_mean_jaccard
93,2-3,R2-R3,0.2061842496827872
93,3-3,R3-R3,0.24216068222097212
94,1-1,R1-R1,0.0819462746601784
94,1-2,R1-R2,0.11424983883108895
94,1-3,R1-R3,0.1088771427214303
94,2-2,R2-R2,0.1941815682108212
94,2-3,R2-R3,0.20702398916632397
94,3-3,R3-R3,0.2356408670224846
95,1-1,R1-R1,0.07652142618720159
95,1-2,R1-R2,0.10736483150734792
95,1-3,R1-R3,0.11592736632952683
95,2-2,R2-R2,0.18818033024374242
95,2-3,R2-R3,0.21321430869553712
95,3-3,R3-R3,0.22530771940339084
96,1-1,R1-R1,0.10141501150859439
96,1-2,R1-R2,0.12313199116112228
96,1-3,R1-R3,0.12464702533048147
96,2-2,R2-R2,0.18226795289766592
96,2-3,R2-R3,0.19683837310242072
96,3-3,R3-R3,0.2536827705835143
97,1-1,R1-R1,0.06852737989981164
97,1-2,R1-R2,0.11789931332300282
97,1-3,R1-R3,0.1110396569954225
97,2-2,R2-R2,0.19120387779075235
97,2-3,R2-R3,0.20782052681337987
97,3-3,R3-R3,0.22490713196931997
98,1-1,R1-R1,0.08383293426038994
98,1-2,R1-R2,0.11316635519803085
98,1-3,R1-R3,0.11939469074846014
98,2-2,R2-R2,0.18521871605734921
98,2-3,R2-R3,0.20786011310399252
98,3-3,R3-R3,0.23692443233685312
99,1-1,R1-R1,0.07718243359250958
99,1-2,R1-R2,0.10750214937350958
99,1-3,R1-R3,0.12485647851971736
99,2-2,R2-R2,0.18381297461445606
99,2-3,R2-R3,0.20976470915948017
99,3-3,R3-R3,0.24351927464352696
100,1-1,R1-R1,0.13091446209761717
100,1-2,R1-R2,0.11772351579805296
100,1-3,R1-R3,0.11872265638127602
