actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca
ATS,2,8,-0.4537195527050358,0.2686982608984222,0.2620042318963083,0.38273972810289253,0.11465081394071824,2,0.5031094608518903,2,0.12391912506436342,Operation of the Antarctic Treaty system The Secretariat,0.2832541244603479,0.4968905391481097,0.5031094608518903,0.0,7,0.26869826089842225,0.12507681017845207,0.13337574719778536,2.3719061320262935,0.7906353773420979,10,0.7140148926392456,0.26832864241430926,3.7267732248127405,1.0730615128160648,0.9361186398022658,Operation of the Antarctic Treaty system The Secretariat
Peru,46,13,-0.5638204557904193,0.2303306989812118,0.25995566172613693,0.37625515398353276,0.0692172916531726,1,0.6698503933640245,4,0.07278987502555401,Opening statements,0.1877647736763422,0.6698503933640245,0.3301496066359754,0.0,12,0.23033069898121183,0.11134463539371026,0.13111602641385744,4.428465187650227,1.1967402592562315,24,0.9658672643350269,0.050607518236797024,19.759909887714947,1.1755788433294934,0.9430142261080292,Exchange of Information
Poland,47,11,-0.29579532977409817,0.3237311192286684,0.36878947159330006,0.4605919406345019,-0.4324020690598889,2,0.776155560448017,5,0.0,Educational issues,0.36878947159330006,0.15334111469729853,0.776155560448017,0.07050332485468438,10,0.3237311192286683,0.1288305250863218,0.16050540282269807,3.7550664830239295,1.0854576407274341,18,0.900511755421287,0.096759349502306,10.334918590747323,1.0947359767928833,0.8744879123865607,Management Plans
Chile,13,13,-0.22975408602189912,0.34674493144769325,0.35913215815589544,0.49838971312566005,-0.20244209376759584,2,0.6771117826765766,7,0.0,Educational issues,0.4326060447198917,0.24569053516540018,0.6771117826765766,0.07719768215802322,9,0.34674493144769336,0.1437929719502155,0.17367703298873313,4.782638715268677,1.2924514597068548,35,0.932418566000136,0.043849374924986126,22.805342190412453,1.3040179040905344,1.0934520067227993,Inspections
Brazil,8,16,-0.34627151021784813,0.30614136361133276,0.30522794333045394,0.4833677225715047,-0.3179102947751021,2,0.7349107091786504,4,0.0,Educational issues,0.4823429046539811,0.25911285053798383,0.7349107091786504,0.0059764402833657375,12,0.30614136361133276,0.14396761495313493,0.16844222440356338,4.2943086704522235,1.0735771676130559,27,0.9031357037360649,0.0722811004883866,13.8348751366987,1.198110233462841,0.9837472999223609,Environmental Impact Assessment EIA Other EIA Matters
Romania,49,9,-0.5899038754036221,0.2212412438634273,0.2620042318963083,0.3504260869958243,-0.372863574191715,2,0.6459165255420815,4,0.0,Educational issues,0.3076348840643275,0.3540834744579186,0.6459165255420815,0.0,12,0.2212412438634273,0.10229313985589542,0.12211520717310921,3.386705716814671,1.0683867016644633,15,0.8668545058879934,0.12666903775116167,7.894589062596942,0.9786815676294137,0.8671789857215941,Science issues
Ecuador,18,13,-0.48716309308814343,0.2570439776870981,0.2605546487018962,0.4643805921192603,0.38858309325962437,2,0.5807493185808352,5,0.0,Educational issues,0.2605546487018962,0.3468249516959425,0.5807493185808352,0.07242572972322232,12,0.2570439776870981,0.12724860133527952,0.16182565830063425,4.215671995835185,1.139235419825436,22,0.9453384099930208,0.06175022974468709,16.194271732017945,1.2035468835481276,0.9997111184978869,Environmental Impact Assessment EIA Other EIA Matters
Portugal,48,7,-0.5591297295898747,0.23196530617236724,0.18871375177875094,0.6499318424838739,0.5751928967768016,1,0.7646677864226951,1,0.0,Educational issues,,0.7646677864226951,0.0542550846332959,0.18107712894400912,1,0.23196530617236724,0.19160765759935655,0.2264858825828928,2.8207873676494484,1.0047847336602524,11,0.8153904105092799,0.19104446037946166,5.234383650872431,1.0835950778017334,0.8974247639075075,Educational issues
Colombia,15,6,-0.8151428981018468,0.14275076915002483,0.12391912506436342,0.2962915422505421,0.05907159859683556,1,0.64741360873886,2,0.0,Educational issues,0.2605546487018962,0.64741360873886,0.35258639126114,0.0,1,0.14275076915002483,0.09528206262625062,0.10325059808117576,2.7041788116057788,1.0461191645338621,9,0.8530734356097953,0.18873188429488943,5.2985217825596544,0.8856457312925576,0.672268791537329,Science issues
Bulgaria,9,9,-0.8305842979407747,0.13736980634403376,0.11158868832521063,0.4297022299677465,1.0768377392422528,1,0.8051076836943315,1,0.0,Educational issues,,0.8051076836943315,0.19489231630566856,0.0,1,0.13736980634403373,0.12308954507101305,0.1497410688944618,3.112544143051039,0.9818983545777378,13,0.8411281847916763,0.16620200378705272,6.016774630956049,0.9137658909681537,0.6698414950457944,Educational issues
Malaysia,41,4,-1.0261122533851503,0.0692329361928428,0.05701582752462398,0.18528406874497677,1.0035810368320326,1,1.0,1,0.0,Educational issues,,1.0,0.0,0.0,1,0.06923293619284282,0.04786676148641121,0.06456711780404367,1.6282079851359526,0.8141039925679763,4,0.8141039925679763,0.38748194858099605,2.580765384457563,0.47361848129214845,0.32135420101254397,Science issues
Venezuela,63,5,-0.925956867567013,0.10413472045649644,0.05701582752462398,0.36300013448774726,0.8492000801951463,1,0.7419313167185287,1,0.0,Educational issues,,0.7419313167185287,0.25806868328147137,0.0,1,0.10413472045649645,0.11116478547299372,0.12649696547096953,1.9959655607759963,0.859615577748036,5,0.859615577748036,0.2888885023669224,3.4615430929469198,0.8186201463858945,0.5605297563828816,Educational issues
Türkiye,57,6,-0.7235011432321846,0.17468575429212527,0.05701582752462398,0.4631103559610395,0.7280975508226,1,0.7486859445829391,3,0.0,Educational issues,0.2840982040334893,0.7486859445829391,0.25131405541706087,0.0,1,0.17468575429212527,0.14327516387212813,0.16138301102813896,2.8631046870786503,1.1076000856027497,13,0.7737201265683432,0.19858365584369322,5.03566114618772,0.9159983458749237,0.6788663920573796,Science issues
