specification,outcome,horizon_meetings,predictor,coefficient,se_two_way_cluster,incidence_rate_ratio,ci_low,ci_high,ratio_per_doubling_plus_one,doubling_ci_low,doubling_ci_high,n_topic_meetings,n_events,minimum_meeting,scale
accumulated_attention_hard_output,outcome_count_hard,5,outcomes_prior5,0.10983827694464467,0.13930134205391723,1.1160975571556655,0.8494277823084142,1.4664857719906303,1.0959331636602987,0.8727518355319015,1.3761867352343924,1080,236,24,one sample SD of log1p predictor; SD=0.831102
accumulated_attention_soft_output,outcome_mass,5,papers_prior5,0.14766428314698513,0.08873889844139723,1.1591236936769826,0.9740779402036209,1.3793226206955396,1.0777873511105007,0.9867646443700783,1.1772063184887798,1080,1080,24,one sample SD of log1p predictor; SD=1.36634
accumulated_attention_soft_output,outcome_mass,5,nearby_prior5,0.1074811389946095,0.0887081391543068,1.1134698593874632,0.935768826028744,1.3249160404561862,1.0918335676937574,0.9471794937669098,1.2585793372720984,1080,1080,24,one sample SD of log1p predictor; SD=0.847958
accumulated_attention_soft_output,outcome_mass,5,outcomes_prior5,0.17666452750349126,0.11387377753127552,1.1932307298836002,0.9545377601545919,1.4916115780563342,1.1587478189383869,0.9619383900723207,1.3958238092499058,1080,1080,24,one sample SD of log1p predictor; SD=0.831102
accumulated_attention_hard_output,outcome_count_hard,8,papers_prior8,0.043650473787644056,0.1874485011385276,1.044617169988526,0.7234320987081839,1.508400074842425,1.0216167354181356,0.8533209309302082,1.2231045978781592,945,215,27,one sample SD of log1p predictor; SD=1.41474
accumulated_attention_hard_output,outcome_count_hard,8,nearby_prior8,0.07063058820706133,0.1731336538399573,1.0731847055469947,0.7643638396113676,1.5067764231306022,1.059688416258444,0.8020668185630578,1.4000573438060067,945,215,27,one sample SD of log1p predictor; SD=0.844458
accumulated_attention_hard_output,outcome_count_hard,8,outcomes_prior8,0.10914731739508725,0.24920032325005478,1.1153266452554518,0.6843503285906231,1.8177145149891654,1.081883549743285,0.7607171495963183,1.5386428659144245,945,215,27,one sample SD of log1p predictor; SD=0.961267
accumulated_attention_soft_output,outcome_mass,8,papers_prior8,0.01709512751892159,0.10013529223405535,1.0172420854384807,0.8359637356396088,1.2378305616277743,1.0084108762637392,0.9159589049096027,1.110194452956774,945,945,27,one sample SD of log1p predictor; SD=1.41474
accumulated_attention_soft_output,outcome_mass,8,nearby_prior8,0.01034200573181484,0.1422523485802694,1.0103956691092002,0.7645463730158686,1.3353008322144493,1.008525046216986,0.8022240324118203,1.2678787068857538,945,945,27,one sample SD of log1p predictor; SD=0.844458
accumulated_attention_soft_output,outcome_mass,8,outcomes_prior8,0.2596717809125767,0.17589584072734948,1.296504479306325,0.9184350711547143,1.8302043526582685,1.2059205062273197,0.9404920260298681,1.5462590081474767,945,945,27,one sample SD of log1p predictor; SD=0.961267
accumulated_attention_hard_output,outcome_count_hard,10,papers_prior10,-0.01313394837626085,0.26265856308369073,0.9869519255579878,0.5898159546482674,1.6514882238875725,0.9935426055035936,0.7707360692712266,1.280758677719926,855,192,29,one sample SD of log1p predictor; SD=1.40526
accumulated_attention_hard_output,outcome_count_hard,10,nearby_prior10,-0.026219926772741094,0.23445875943350852,0.9741208307984112,0.6152300012845092,1.5423685304913612,0.9785882321787334,0.669656771174612,1.4300384456338109,855,192,29,one sample SD of log1p predictor; SD=0.839678
